NIST Function,NIST Category,NIST Subcategory,ISO 27001:2022 Control,Description,MAPELEAD Priority
DETECT (DE),Security Continuous Monitoring (DE.CM),DE.CM-6,8.15,External service provider activity monitored,Medium
DETECT (DE),Security Continuous Monitoring (DE.CM),DE.CM-7,8.15,Monitoring for unauthorized personnel and activities,High
DETECT (DE),Security Continuous Monitoring (DE.CM),DE.CM-8,8.15,Vulnerability scans performed,High
DETECT (DE),Detection Processes (DE.DP),DE.DP-1,5.25,Roles and responsibilities for detection defined,High
DETECT (DE),Detection Processes (DE.DP),DE.DP-2,5.25,Detection activities comply with requirements,High
DETECT (DE),Detection Processes (DE.DP),DE.DP-3,5.25,Detection processes tested,Medium
DETECT (DE),Detection Processes (DE.DP),DE.DP-4,5.25,Event detection information communicated,High
DETECT (DE),Detection Processes (DE.DP),DE.DP-5,5.25,Detection processes improved continuously,Medium
RESPOND (RS),Response Planning (RS.RP),RS.RP-1,5.24,Response plan executed during or after an incident,High
RESPOND (RS),Communications (RS.CO),RS.CO-1,5.24,Personnel know their roles during incident,High
RESPOND (RS),Communications (RS.CO),RS.CO-2,5.24,Incidents reported according to criteria,High
RESPOND (RS),Communications (RS.CO),RS.CO-3,5.24,Information shared with designated stakeholders,Medium
RESPOND (RS),Communications (RS.CO),RS.CO-4,5.24,Coordination with stakeholders occurs,Medium
RESPOND (RS),Communications (RS.CO),RS.CO-5,5.24,Voluntary information sharing occurs,Low
RESPOND (RS),Analysis (RS.AN),RS.AN-1,5.24,Investigations of incidents conducted,High
RESPOND (RS),Analysis (RS.AN),RS.AN-2,5.24,Effects of incidents understood,High
RESPOND (RS),Analysis (RS.AN),RS.AN-3,5.24,Forensic capabilities identified,Medium
RESPOND (RS),Analysis (RS.AN),RS.AN-4,5.24,Incidents categorized and prioritized,High
RESPOND (RS),Analysis (RS.AN),RS.AN-5,5.24,Processes for digital forensics established,Medium
RESPOND (RS),Mitigation (RS.MI),RS.MI-1,5.24,Incidents contained,High
RESPOND (RS),Mitigation (RS.MI),RS.MI-2,5.24,Incidents mitigated,High
RESPOND (RS),Mitigation (RS.MI),RS.MI-3,5.24,Newly identified vulnerabilities mitigated,High
RESPOND (RS),Improvements (RS.IM),RS.IM-1,5.24,Response plans incorporate lessons learned,High
RESPOND (RS),Improvements (RS.IM),RS.IM-2,5.24,Response strategies updated,Medium
RECOVER (RC),Recovery Planning (RC.RP),RC.RP-1,5.30,Recovery plan executed during or after incident,High
RECOVER (RC),Improvements (RC.IM),RC.IM-1,5.30,Recovery plans incorporate lessons learned,High
RECOVER (RC),Improvements (RC.IM),RC.IM-2,5.30,Recovery strategies updated,Medium
RECOVER (RC),Communications (RC.CO),RC.CO-1,5.30,Public relations managed,Medium
RECOVER (RC),Communications (RC.CO),RC.CO-2,5.30,Reputation repaired after incident,Medium
RECOVER (RC),Communications (RC.CO),RC.CO-3,5.30,Recovery activities communicated,Medium
